"respondent_id","age","gender","education","income","work_hours","work_mode","tenure_years","js_q1","js_q2","js_q3","js_q4","js_q5","job_satisfaction","bo_q1","bo_q2","bo_q3","bo_q4","bo_q5","burnout_score","wlb","turnover_intent"
"id_43",44,"Nam","Tiến sĩ",31,56.97,"Remote",19.13,4,4,5,3,3,2.25,2,2,4,3,2,2.58,2,0
"id_44",59,"Nam","Tiến sĩ",29,34.47,"Hybrid",1.27,5,2,2,1,1,2.37,3,1,2,5,2,4.85,4,1
"id_45",57,"Nữ","Thạc sĩ",36,20.26,"Văn phòng",20.63,4,4,3,5,5,2.85,3,4,2,2,2,4.46,5,0
"id_46",46,"Nữ","THPT",9,43.79,"Hybrid",18.96,2,4,5,2,2,1.03,1,1,4,1,4,3.94,5,1
"id_47",52,"Nữ","Thạc sĩ",8,44.67,"Hybrid",11.66,2,1,3,4,3,4.37,3,4,4,1,2,5,1,0
"id_48",36,"Nam","Thạc sĩ",21,39.68,"Hybrid",1.76,4,5,4,2,3,1.4,2,1,5,5,5,2.69,2,1
"id_49",22,"Nữ","Thạc sĩ",21,60.68,"Văn phòng",4.39,1,5,3,5,4,4.13,4,4,2,2,4,1.03,2,0
"id_50",45,"Nữ","THPT",29,38.26,"Văn phòng",14.71,3,2,2,5,3,1.17,3,3,3,3,2,1.22,4,0
"id_51",27,"Nam","Đại học",21,29.67,"Văn phòng",4.84,2,3,4,1,3,1.45,1,1,4,4,1,2.15,3,1
"id_52",25,"Nữ","Thạc sĩ",16,50.03,"Văn phòng",19.92,4,5,5,2,2,4.48,1,5,1,2,1,3.32,1,1
"id_53",50,"Nam","Đại học",27,32.05,"Văn phòng",6.31,1,1,4,3,3,3.29,2,3,5,3,3,2.29,3,0
"id_54",29,"Nữ","THPT",15,53.93,"Remote",7.24,4,3,3,5,1,4.35,5,3,3,2,1,2.58,1,0
"id_55",59,"Nữ","Tiến sĩ",21,22.24,"Remote",14.74,4,3,4,5,4,4.24,3,1,2,1,4,4.77,5,0
"id_56",37,"Nam","THPT",22,59.42,"Văn phòng",5.84,2,4,2,5,3,1.52,2,2,1,1,5,4.65,5,1
"id_57",27,"Nữ","Tiến sĩ",13,25.95,"Remote",19.26,4,5,3,5,5,2.35,5,4,3,5,2,4.73,5,0
"id_58",44,"Nam","Tiến sĩ",5,50.1,"Hybrid",2.33,5,3,4,2,4,3.75,3,2,1,5,4,4.9,2,1
"id_59",22,"Nam","Đại học",9,56.07,"Remote",10.85,2,3,2,3,3,2.39,5,2,5,3,3,3.05,1,0
"id_60",38,"Nam","Thạc sĩ",21,25.08,"Remote",9.78,3,4,3,4,1,2.44,1,2,1,5,5,3.27,2,0
"id_61",41,"Nữ","THPT",16,38.58,"Hybrid",4.36,1,3,2,5,2,1.02,5,2,1,5,3,2.03,1,0
"id_62",59,"Nữ","Thạc sĩ",5,23.52,"Remote",12.67,1,3,4,3,3,3.12,4,4,4,1,5,2.63,2,0
"id_63",58,"Nữ","THPT",26,35.33,"Văn phòng",6.59,4,5,4,2,2,1.55,1,1,5,4,1,2.31,4,1
"id_64",56,"Nam","Tiến sĩ",36,57.63,"Văn phòng",9.28,2,5,1,4,2,4.74,2,2,4,3,5,4.35,3,0
"id_65",41,"Nam","THPT",35,39.87,"Văn phòng",18.41,4,1,2,1,2,1.99,5,2,5,5,5,3.74,1,1
"id_66",36,"Nữ","THPT",22,34.36,"Hybrid",11.83,5,3,1,2,5,1.1,4,4,3,4,3,2.04,4,0
"id_67",42,"Nam","Tiến sĩ",25,28.91,"Remote",1.81,3,5,2,4,5,4.83,5,5,3,5,5,3.8,1,0
"id_68",57,"Nữ","Đại học",26,46.42,"Remote",2.58,4,4,2,4,5,2.54,1,1,4,4,5,4.79,4,1
"id_69",42,"Nữ","Tiến sĩ",36,23.24,"Remote",10.38,2,4,2,1,2,2.33,2,3,1,2,1,1.34,1,0
"id_70",54,"Nữ","Thạc sĩ",21,47.14,"Remote",19.18,3,4,4,3,5,3.54,5,2,5,1,5,1.41,2,0
"id_71",47,"Nam","THPT",5,35.74,"Remote",5.94,5,4,2,3,4,3.86,3,3,1,4,4,3.2,3,0
"id_72",24,"Nam","Đại học",32,50.95,"Remote",13.82,4,2,4,2,3,1.09,5,1,3,5,2,4.24,5,1
"id_73",51,"Nam","Tiến sĩ",30,44.3,"Remote",17,4,3,3,1,5,2.96,1,5,5,1,5,3.65,1,0
"id_74",42,"Nam","THPT",14,33.96,"Remote",18.84,4,1,3,1,5,3.12,3,1,1,4,4,1.76,3,1
"id_75",40,"Nữ","Tiến sĩ",14,47.75,"Văn phòng",13.39,1,4,5,1,1,4.52,4,1,2,1,2,2.77,4,1
"id_76",54,"Nam","Đại học",24,35.38,"Hybrid",3.79,1,2,4,4,1,4.27,4,3,3,4,3,3.3,3,1
"id_77",48,"Nữ","Thạc sĩ",14,59.6,"Văn phòng",8.29,3,1,3,2,3,2.1,3,1,4,1,1,3.75,1,1
"id_78",59,"Nam","Đại học",26,47.71,"Remote",16.55,2,4,4,4,5,2.71,4,2,5,1,1,3.13,2,0
"id_79",39,"Nam","Thạc sĩ",20,24.34,"Hybrid",1.04,1,5,1,3,4,4.62,2,1,5,1,4,1.65,1,1
"id_80",54,"Nữ","Thạc sĩ",16,28.96,"Văn phòng",7.25,2,2,5,2,2,3.11,3,1,1,4,5,4.64,5,0
"id_81",41,"Nữ","THPT",10,37.13,"Remote",12.63,3,5,4,5,3,2.65,4,5,5,4,3,2.36,1,0
"id_82",49,"Nữ","Tiến sĩ",8,36.99,"Hybrid",20.01,5,2,3,2,2,3.05,4,1,5,2,1,4.82,4,1
"id_83",42,"Nữ","Tiến sĩ",36,29.86,"Văn phòng",2.81,5,2,5,1,2,1.14,4,2,5,1,1,4.97,3,0
"id_84",55,"Nữ","Đại học",33,31.6,"Remote",9.82,4,3,5,2,3,3.37,5,3,4,3,3,4.24,1,1
"id_85",25,"Nữ","THPT",8,55.85,"Hybrid",6.51,4,5,1,2,2,2.34,2,4,1,1,2,4.12,4,1
"id_86",58,"Nam","Tiến sĩ",12,25.63,"Hybrid",1.17,3,3,1,5,4,3.93,4,2,1,5,5,2.96,3,0
"id_87",36,"Nam","Đại học",16,45.99,"Remote",19.7,1,4,5,2,1,3.65,2,2,4,2,4,2.96,5,0
"id_88",54,"Nam","Tiến sĩ",19,43.37,"Văn phòng",19.93,5,3,5,5,3,2.76,5,4,1,5,2,3.06,1,0
"id_89",38,"Nam","Tiến sĩ",22,61.06,"Văn phòng",20.18,3,5,5,2,3,2.26,2,2,5,4,1,4.53,5,0
"id_90",30,"Nam","Thạc sĩ",35,47.9,"Hybrid",16.83,3,1,2,5,1,1.1,1,1,1,4,4,2.23,3,1
"id_91",45,"Nữ","Đại học",19,41.36,"Văn phòng",18.09,1,2,1,5,3,2.25,1,5,4,5,5,3.56,5,0
"id_92",46,"Nam","Đại học",12,42.32,"Hybrid",20.95,2,3,1,3,4,4.73,1,1,3,5,4,2.53,5,1
"id_93",34,"Nữ","Tiến sĩ",22,22.74,"Hybrid",12.07,2,5,5,2,4,2.07,2,3,3,3,5,3.72,3,1
"id_94",42,"Nữ","Đại học",27,46.12,"Hybrid",18.66,5,1,5,1,4,1.88,5,5,1,4,3,1.8,4,0
"id_95",39,"Nam","THPT",26,30.31,"Hybrid",5.99,1,1,3,2,4,3.24,1,1,4,4,4,4.91,5,1
"id_96",49,"Nữ","Tiến sĩ",19,39.21,"Văn phòng",7.43,1,2,1,1,2,2.24,3,3,5,5,1,1.44,4,1
"id_97",56,"Nam","THPT",14,25.64,"Văn phòng",14.5,2,3,3,3,2,4.25,1,3,2,4,3,1.21,3,1
"id_98",55,"Nam","THPT",34,37.82,"Văn phòng",19.56,3,5,5,1,4,2.3,3,4,4,4,3,2.17,3,1
"id_99",55,"Nữ","Thạc sĩ",14,42.09,"Văn phòng",16.82,1,2,4,1,2,4.96,5,2,4,1,4,4.17,1,0
"id_100",34,"Nam","Thạc sĩ",35,22.41,"Remote",8.97,2,1,2,4,1,3.35,4,1,2,5,1,4.85,4,1
"id_101",31,"Nữ","Đại học",36,60.94,"Hybrid",17.05,5,4,4,4,2,1.76,2,3,5,2,1,1.4,2,0
"id_102",50,"Nam","Đại học",22,56.73,"Văn phòng",13.87,4,1,3,3,5,2.82,3,5,4,2,1,1.57,5,0
"id_103",45,"Nam","Thạc sĩ",31,25.13,"Văn phòng",2.46,1,2,1,5,1,3.57,2,4,2,2,4,1.26,1,0
"id_104",35,"Nam","Thạc sĩ",11,58.4,"Remote",18.16,3,4,1,4,3,3.62,4,1,3,1,4,2.3,1,0
"id_105",51,"Nam","THPT",8,27.86,"Remote",2.92,2,4,2,5,4,3.65,4,3,2,5,5,1.16,2,0
"id_106",59,"Nữ","Tiến sĩ",34,53.39,"Hybrid",12.35,5,4,1,4,2,2.28,2,4,5,3,1,2.85,1,1
"id_107",40,"Nam","Đại học",17,44.76,"Hybrid",4.23,1,2,1,5,3,1.92,2,2,1,4,4,2.53,2,0
"id_108",53,"Nữ","Thạc sĩ",11,49.91,"Hybrid",0.99,3,5,2,3,1,3.09,1,3,5,3,2,1.49,5,0
"id_109",42,"Nữ","Đại học",24,37.27,"Hybrid",13.86,2,5,1,2,2,2.73,1,1,3,3,4,2.1,4,1
"id_110",23,"Nam","THPT",17,42.07,"Văn phòng",12.66,2,1,5,4,2,3.43,4,1,4,3,3,3.87,3,1
"id_111",25,"Nam","Thạc sĩ",11,28.49,"Văn phòng",2.01,4,2,1,4,1,1.63,4,5,3,2,2,4.39,1,1
"id_112",52,"Nữ","THPT",16,34.21,"Remote",8.11,2,3,2,2,2,4.09,2,2,5,5,5,3.2,5,1
"id_113",55,"Nữ","Tiến sĩ",36,44.13,"Remote",16.68,1,1,2,5,2,2.77,5,4,4,3,4,4.58,2,1
"id_114",27,"Nam","Thạc sĩ",17,43.88,"Remote",16.6,3,5,3,1,3,2.16,5,1,3,3,5,2.32,1,1
"id_115",44,"Nam","THPT",23,51.08,"Văn phòng",1.7,5,1,4,1,1,3.24,2,3,5,4,3,1.72,3,0
"id_116",38,"Nam","Thạc sĩ",33,32.01,"Văn phòng",13.44,1,3,2,1,1,3.45,1,2,4,4,2,1.17,2,0
"id_117",50,"Nữ","Tiến sĩ",28,61.02,"Remote",13.98,4,1,4,5,5,1.36,1,5,3,5,5,2.85,4,0
"id_118",25,"Nữ","Thạc sĩ",26,51.43,"Remote",9.9,2,3,2,3,5,3.68,2,2,3,3,5,4.45,2,0
"id_119",57,"Nữ","Tiến sĩ",21,47.93,"Hybrid",9.82,3,3,3,4,1,1.34,5,4,2,2,2,1.01,3,0
"id_120",45,"Nữ","Thạc sĩ",36,47.1,"Remote",11.16,2,2,1,3,4,2.94,1,2,4,5,2,1.46,2,1
"id_121",56,"Nam","THPT",15,39.91,"Hybrid",11.38,5,1,2,2,2,2.86,3,5,2,5,4,1.57,5,1
"id_122",32,"Nữ","Đại học",35,40.87,"Hybrid",19.12,5,1,5,1,1,2.59,3,5,1,3,2,3.32,5,1
"id_123",43,"Nữ","Tiến sĩ",32,41.83,"Văn phòng",20.42,4,5,4,2,1,4.01,2,3,2,2,4,4.8,3,0
"id_124",27,"Nam","THPT",35,36.52,"Văn phòng",19.93,3,1,5,2,3,4.43,2,4,1,1,5,2.47,2,1
"id_125",43,"Nữ","Tiến sĩ",35,22.84,"Hybrid",9.87,2,1,4,3,4,3.85,1,1,5,3,2,3.6,4,0
"id_126",59,"Nam","Thạc sĩ",14,45.61,"Remote",13.96,4,3,3,3,4,3.45,4,4,3,4,2,4.79,2,0
"id_127",54,"Nữ","Thạc sĩ",35,27.79,"Văn phòng",10.63,1,5,3,2,2,3.56,3,4,3,5,1,2.75,1,1
"id_128",50,"Nam","THPT",25,51.69,"Văn phòng",13.75,3,3,1,2,1,1.01,3,2,1,4,1,2.11,5,0
"id_129",25,"Nữ","Thạc sĩ",13,60.26,"Văn phòng",7.89,4,5,4,3,2,3.42,4,4,2,2,2,2.15,1,1
"id_130",40,"Nữ","Thạc sĩ",25,58.15,"Văn phòng",3.46,5,5,4,1,5,2.73,4,2,5,5,5,4.53,4,1
"id_131",24,"Nam","Tiến sĩ",36,30.36,"Remote",16.38,3,5,4,2,5,4.39,1,1,3,5,5,1.65,1,0
"id_132",26,"Nam","Đại học",11,23.51,"Văn phòng",15.79,4,2,3,1,2,2.33,4,4,2,3,2,4.33,3,0
"id_133",27,"Nam","THPT",12,49.69,"Văn phòng",19.33,4,5,5,3,5,2.96,2,4,3,5,4,1.96,1,1
"id_134",40,"Nam","Tiến sĩ",27,31.36,"Văn phòng",10.97,4,1,2,3,5,3.33,5,3,4,3,1,2.29,3,1
"id_135",36,"Nữ","Tiến sĩ",11,40.7,"Văn phòng",3.53,4,2,4,5,4,4.83,2,2,1,4,4,3.96,1,0
"id_136",31,"Nam","Đại học",29,59.59,"Hybrid",12.99,5,1,5,5,2,3.59,3,3,1,4,2,4.74,5,0
"id_137",27,"Nữ","Tiến sĩ",16,31.51,"Remote",12.82,1,1,4,3,1,4.33,1,5,3,4,3,3.5,2,1
"id_138",57,"Nữ","Thạc sĩ",12,38,"Remote",0.78,4,4,5,4,1,3.62,4,4,2,3,4,2.85,3,1
"id_139",39,"Nam","THPT",10,36.28,"Văn phòng",1.36,4,1,2,2,2,1.5,4,1,3,5,3,4.94,4,1
"id_140",53,"Nữ","Tiến sĩ",7,59.15,"Remote",6.69,5,1,3,3,2,4.06,1,2,5,1,1,1.38,2,1
"id_141",37,"Nữ","Tiến sĩ",35,57.95,"Văn phòng",19.8,1,5,5,2,5,2.34,3,1,1,3,2,2.92,2,0
"id_142",39,"Nam","THPT",13,28.79,"Remote",0.77,4,3,2,3,1,1.55,3,1,3,1,5,1.92,5,1
"id_143",57,"Nữ","Thạc sĩ",17,37.34,"Văn phòng",14.41,1,3,5,5,2,4.63,4,3,3,1,3,3.71,1,1
"id_144",51,"Nữ","THPT",30,56.48,"Hybrid",0.51,5,3,3,2,2,1.23,5,4,2,1,5,4.55,5,0
"id_145",40,"Nữ","THPT",25,53.1,"Remote",19.67,1,5,2,3,2,1.42,5,2,5,2,4,1.99,4,0
"id_146",27,"Nam","Tiến sĩ",8,28.07,"Remote",11.69,2,2,1,5,3,2.77,3,2,2,3,2,1.91,1,0
"id_147",50,"Nữ","THPT",34,54.29,"Văn phòng",6.86,4,2,1,5,5,2.95,4,3,4,1,5,2.58,2,1
"id_148",22,"Nữ","Tiến sĩ",7,27.96,"Hybrid",1.96,1,5,3,5,3,2.55,4,1,1,2,5,2.08,4,0
"id_149",58,"Nam","THPT",16,25.63,"Remote",13.01,3,4,2,1,1,1.2,1,3,2,2,2,3.83,1,0
"id_150",27,"Nữ","Đại học",18,45.51,"Văn phòng",0.85,4,1,4,3,1,4.07,5,5,4,1,1,4.33,5,0
"id_151",25,"Nam","Đại học",24,38.58,"Remote",18.68,4,2,4,1,3,4.88,4,5,2,4,4,4.53,2,0
"id_152",51,"Nam","Tiến sĩ",23,36.22,"Văn phòng",14.19,2,3,2,1,1,4.58,4,4,1,3,5,2.82,4,1
"id_153",23,"Nam","Thạc sĩ",28,53.41,"Văn phòng",15.05,4,3,2,1,3,1.99,4,5,3,2,2,4.9,2,1
"id_154",35,"Nam","Đại học",30,25.51,"Hybrid",1.92,4,4,3,4,2,2.81,1,3,2,1,4,1.66,1,0
"id_155",31,"Nữ","THPT",26,28.04,"Hybrid",17.13,2,5,4,1,4,3.07,1,2,1,3,3,2.47,3,1
"id_156",47,"Nữ","Thạc sĩ",15,25.56,"Remote",20.69,5,3,3,1,2,1.16,1,4,3,2,1,3.1,4,1
"id_157",28,"Nữ","Đại học",35,25.08,"Văn phòng",18.91,1,4,1,4,2,1.89,1,4,5,2,5,1.59,3,1
"id_158",44,"Nam","THPT",6,45.71,"Remote",3.82,1,2,4,3,5,4.64,2,2,1,5,1,1.45,5,0
"id_159",29,"Nam","THPT",13,50.58,"Văn phòng",8.2,2,1,1,4,1,3.32,2,1,5,5,5,2.32,1,1
"id_160",47,"Nam","Thạc sĩ",6,25.75,"Hybrid",3.12,5,2,4,4,2,3.64,3,2,4,4,4,1.33,3,1
"id_161",36,"Nam","Thạc sĩ",35,31.13,"Văn phòng",11.75,5,4,2,1,4,3.42,2,1,3,1,1,4.54,4,1
"id_162",36,"Nữ","Thạc sĩ",30,55,"Văn phòng",8.11,1,2,2,4,2,2.71,1,5,5,1,2,4.12,1,1
"id_163",29,"Nam","Tiến sĩ",15,60.19,"Hybrid",11.33,3,3,1,4,2,3.24,1,3,2,2,5,4.07,1,0
"id_164",49,"Nam","THPT",26,57.35,"Remote",0.81,1,5,2,3,4,4.02,4,4,4,4,5,3.73,4,1
"id_165",45,"Nam","Thạc sĩ",19,20.03,"Văn phòng",7.15,5,3,2,1,3,2.55,3,5,1,5,3,3.05,2,0
"id_166",29,"Nữ","THPT",17,24.71,"Remote",14.07,1,4,2,1,5,3.04,5,5,3,1,4,3.28,4,1
"id_167",37,"Nữ","Đại học",13,45.54,"Văn phòng",0.72,2,2,5,3,2,1.45,4,1,5,5,5,4.58,5,0
"id_168",22,"Nữ","Tiến sĩ",34,21.66,"Remote",5.58,5,5,3,5,3,4.97,3,2,5,4,4,1.11,4,1
"id_169",26,"Nam","Tiến sĩ",12,58.27,"Remote",6.25,2,1,5,5,5,4.22,4,2,1,1,4,3.07,3,0
"id_170",42,"Nam","Đại học",15,20.58,"Remote",1.85,3,5,3,4,4,2.12,1,3,2,4,5,2.19,4,0
"id_171",22,"Nam","Đại học",20,57.43,"Hybrid",19.63,4,1,2,5,2,4.96,3,1,4,3,2,4.88,5,0
"id_172",43,"Nam","Tiến sĩ",7,52.39,"Hybrid",2.62,4,3,1,2,4,3.17,3,5,3,2,3,4.73,1,1
"id_173",24,"Nữ","Tiến sĩ",31,52.78,"Văn phòng",20.78,4,2,2,5,4,2.37,3,5,2,2,2,1.48,4,1
"id_174",56,"Nam","Đại học",24,25.75,"Hybrid",2.5,4,1,2,1,1,1.53,1,3,1,4,1,2.43,1,0
"id_175",23,"Nam","Tiến sĩ",7,57.68,"Hybrid",3.58,2,5,3,5,4,3.76,3,3,2,3,5,2.76,5,1
"id_176",34,"Nữ","Đại học",6,54.99,"Hybrid",8.62,3,5,1,2,1,1.3,3,1,4,3,5,2.18,1,0
"id_177",33,"Nam","Đại học",5,30.23,"Hybrid",5.73,3,5,5,5,5,3.44,4,1,4,4,1,3.49,2,0
"id_178",28,"Nữ","Tiến sĩ",18,37.25,"Remote",5.56,1,5,5,1,1,4.09,4,5,2,1,5,3.24,5,0
"id_179",34,"Nam","Đại học",31,28.04,"Hybrid",0.69,1,4,2,1,4,4.18,4,1,4,2,4,3.9,2,0
"id_180",36,"Nam","Thạc sĩ",21,23.74,"Hybrid",10.73,2,4,4,3,1,4.61,4,1,3,3,3,2.56,5,0
"id_181",22,"Nam","Đại học",16,46.82,"Văn phòng",12.86,3,5,1,3,3,4.06,1,5,4,3,1,4.78,5,1
"id_182",46,"Nữ","Thạc sĩ",31,27.89,"Hybrid",13.37,1,2,3,2,5,4.07,2,5,1,4,3,4.39,1,1
"id_183",47,"Nam","Thạc sĩ",31,26.37,"Hybrid",6.6,1,2,5,5,2,4.87,4,2,1,4,5,2.63,2,1
"id_184",25,"Nam","Đại học",20,41.48,"Remote",19.17,1,1,1,2,3,1.32,1,2,4,1,4,1.3,1,0
"id_185",56,"Nam","Thạc sĩ",36,52.17,"Hybrid",2.6,3,4,5,5,1,4.77,2,1,2,3,3,3.48,4,1
"id_186",37,"Nữ","Tiến sĩ",14,60.5,"Văn phòng",13.62,5,2,4,5,5,3.64,5,3,3,2,2,3.67,2,1
"id_187",60,"Nữ","Tiến sĩ",22,27.16,"Remote",8.23,1,1,5,4,2,3.91,3,4,2,2,3,4.24,3,0
"id_188",58,"Nữ","Thạc sĩ",9,46.72,"Remote",17.79,3,1,3,3,3,1.64,1,1,3,4,2,4.27,3,1
"id_189",30,"Nam","THPT",7,49.63,"Văn phòng",3.72,2,2,3,4,1,3.26,4,2,3,1,2,1.74,4,1
"id_190",42,"Nữ","THPT",33,22.24,"Remote",9.33,1,1,2,3,2,3.62,5,3,2,2,4,2.16,1,0
"id_191",27,"Nam","THPT",5,57.15,"Remote",17.49,3,1,4,3,1,3.49,4,3,3,2,1,1.4,5,0
"id_192",39,"Nam","Tiến sĩ",23,32.74,"Văn phòng",20.25,3,2,1,4,1,1.06,1,2,2,1,2,1.94,5,1
"id_193",40,"Nữ","THPT",13,29.75,"Remote",14.04,1,3,3,3,4,1.77,5,5,1,2,4,1.35,3,0
"id_194",45,"Nữ","THPT",5,24.8,"Văn phòng",6.2,5,5,1,5,2,4.55,5,5,5,2,2,1.08,1,0
"id_195",57,"Nam","THPT",23,50.73,"Remote",11.53,4,3,5,4,3,1.62,1,3,4,3,4,3.9,3,1
"id_196",30,"Nam","THPT",28,25.88,"Hybrid",8.45,3,5,5,5,5,4.88,4,3,3,1,2,2.68,3,0
"id_197",23,"Nam","Thạc sĩ",13,33.06,"Văn phòng",17.28,3,2,1,3,3,1.64,2,3,4,1,5,2.21,2,1
"id_198",23,"Nam","Tiến sĩ",26,51.97,"Remote",9.31,5,2,2,4,4,3.25,2,1,5,2,1,1.31,2,0
"id_199",33,"Nam","Thạc sĩ",30,28.26,"Văn phòng",14.68,5,1,5,1,2,1.35,5,1,5,1,2,2.34,4,1
"id_200",58,"Nữ","Tiến sĩ",25,33.71,"Remote",3,1,2,4,2,1,4.63,3,3,2,4,2,2.06,2,1
"id_201",24,"Nữ","Thạc sĩ",9,37.47,"Remote",0.49,1,2,4,1,4,3.31,2,5,2,3,2,1.94,3,1
"id_202",42,"Nữ","Thạc sĩ",33,55.58,"Hybrid",6.73,4,1,2,3,5,1.91,3,4,1,4,2,1.56,1,1
